# Data extracted from Teng et al (1998; doi:10.1126/science.282.5389.724), Fig 2
1_sigma,LC,type
0.699106256206554,21.6796875,obtuse
0.838133068520358,27.9296875,obtuse
0.973187686196624,34.1796875,obtuse
1.20357497517378,45.8984375,obtuse
1.493545183714,65.625,obtuse
1.88679245283019,74.609375,obtuse
2.89572989076465,125.1953125,obtuse
3.98808341608739,168.359375,obtuse
0.703078450844092,15.625,acute
0.83416087388282,21.6796875,acute
0.973187686196624,25.78125,acute
1.20754716981132,33.59375,acute
1.49751737835154,45.1171875,acute
1.88282025819265,54.296875,acute
2.89175769612711,98.4375,acute
3.99205561072493,130.2734375,acute
